VAR,STATION,LAT,LON,ENSEMBLE,RCP,MODEL,CLIMATOLOGY,Annual,DJF,MAM,JJA,SON,NDJFMA,MJJASO,January,February,March,April,May,June,July,August,September,October,November,December
0,WALGETT-AIRPORT-AWS,-30.04,148.12,r1i1p1,rcp26,CESM1-CAM5,2020-2039,28.36,35.6,28.36,20.58,28.94,33.42,23.31,36.45,35.14,32.51,28.62,23.94,20.07,19.84,21.81,25.18,29.03,32.62,35.15
0,WANDERING,-32.67,116.67,r1i1p1,rcp26,CESM1-CAM5,2020-2039,24.2,32.14,24.93,16.69,22.96,29.76,18.59,32.87,32.61,29.03,25.41,20.36,17.78,16.07,16.22,18.9,22.22,27.78,31.18
0,WEIPA-AERO,-12.68,141.92,r1i1p1,rcp26,CESM1-CAM5,2020-2039,33.37,33.09,32.88,31.96,35.51,33.52,33.19,32.96,32.09,32.69,33.29,32.68,31.68,31.53,32.67,34.62,35.96,35.94,34.3
0,WILCANNIA-REID-ST,-31.56,143.37,r1i1p1,rcp26,CESM1-CAM5,2020-2039,27.37,35.31,27.04,19.53,27.62,32.69,22.05,36.09,35.45,31.48,27.45,22.18,18.91,18.88,20.8,24.13,27.43,31.3,34.41
0,WILLIAMTOWN-RAAF,-32.79,151.84,r1i1p1,rcp26,CESM1-CAM5,2020-2039,24.13,28.71,24.37,19.03,24.43,27.32,20.94,29.36,28.84,26.8,24.87,21.44,18.93,18.36,19.78,22.26,24.84,26.18,27.86
0,WILSONS-PROMONTORY-LIGHTHOUSE,-39.13,146.42,r1i1p1,rcp26,CESM1-CAM5,2020-2039,17.2,20.58,18.25,13.72,16.23,19.62,14.77,21.19,21.58,19.93,18.47,16.36,14.05,13.52,13.59,14.75,16.36,17.58,19.08
0,WITTENOOM,-22.24,118.34,r1i1p1,rcp26,CESM1-CAM5,2020-2039,34.65,40.71,34.19,27.03,36.65,39.19,30.11,41.55,39.04,38,35.04,29.53,26.4,26.35,28.35,32.8,37.21,39.92,41.62
0,WOOMERA-AERODROME,-31.16,136.81,r1i1p1,rcp26,CESM1-CAM5,2020-2039,26.85,34.65,26.51,19.1,27.13,32.03,21.66,35.67,35.06,30.74,26.86,21.94,18.4,18.73,20.19,23.79,26.91,30.7,33.18
0,WYALONG-POST-OFFICE,-33.93,147.24,r1i1p1,rcp26,CESM1-CAM5,2020-2039,24.59,33.15,24.92,16.08,24.18,30.42,18.74,34.19,33.35,29.04,25.6,20.13,15.84,15.41,16.98,20.03,24.06,28.46,31.99
0,YAMBA-PILOT-STATION,-29.43,153.36,r1i1p1,rcp26,CESM1-CAM5,2020-2039,24.82,27.79,25.53,21.27,24.71,27.09,22.56,28.07,28.38,27.41,25.89,23.28,21.29,20.79,21.73,23.3,24.96,25.86,26.89
